,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
3.939393939393939e+00,-7.315107972707800e+01,-5.850107897959992e+01,-8.550102996459614e+01,-6.019313545676523e+01,-5.660026417562977e+01,-1.004112938606135e+02
4.040404040404041e+00,-7.571079701347074e+01,-6.054816049494327e+01,-8.849289919224537e+01,-6.229942575248901e+01,-5.858083199725722e+01,-1.039249060397230e+02
4.141414141414141e+00,-7.828319736124971e+01,-6.260538502907221e+01,-9.149959273712508e+01,-6.441615243869228e+01,-6.057121327109473e+01,-1.074559277035409e+02
4.242424242424242e+00,-8.086779397021610e+01,-6.467236327349011e+01,-9.452054161353421e+01,-6.654291494671064e+01,-6.257103133804235e+01,-1.110036906426845e+02
4.343434343434343e+00,-8.346412958766150e+01,-6.674872954970104e+01,-9.755521137170560e+01,-6.867933702134292e+01,-6.457993240121570e+01,-1.145675672063217e+02
4.444444444444445e+00,-8.607177411464066e+01,-6.883413989487549e+01,-1.006030992999508e+02,-7.082506475114766e+01,-6.659758367381232e+01,-1.181469670164055e+02
4.545454545454545e+00,-8.869032245062236e+01,-7.092827033815396e+01,-1.036637319054274e+02,-7.297976479489135e+01,-6.862367171142139e+01,-1.217413340091205e+02
4.646464646464646e+00,-9.131939254873232e+01,-7.303081534536734e+01,-1.067366626410528e+02,-7.514312278128462e+01,-7.065790090727822e+01,-1.253501437654002e+02
4.747474747474747e+00,-9.395862365747030e+01,-7.514148641288605e+01,-1.098214698503737e+02,-7.731484186216056e+01,-7.269999213180206e+01,-1.289729010974081e+02
4.848484848484849e+00,-9.660767472791710e+01,-7.726001079381649e+01,-1.129177549058652e+02,-7.949464140182845e+01,-7.474968150018088e+01,-1.326091378621806e+02
4.949494949494950e+00,-9.926622296812893e+01,-7.938613034190756e+01,-1.160251405192662e+02,-8.168225578754173e+01,-7.680671925384161e+01,-1.362584109773074e+02
5.050505050505050e+00,-1.019339625287187e+02,-8.151960046037111e+01,-1.191432692052505e+02,-8.387743334791492e+01,-7.887086874342550e+01,-1.399203006166863e+02
5.151515151515151e+00,-1.046106033056044e+02,-8.366018914440450e+01,-1.222718018820450e+02,-8.607993536775240e+01,-8.094190550242106e+01,-1.435944085671077e+02
5.252525252525253e+00,-1.072958698476120e+02,-8.580767610756840e+01,-1.254104165946059e+02,-8.828953518915804e+01,-8.301961640192744e+01,-1.472803567287695e+02
5.353535353535354e+00,-1.099895003580972e+02,-8.796185198335421e+01,-1.285588073476858e+02,-9.050601739000922e+01,-8.510379887816455e+01,-1.509777857448463e+02
5.454545454545454e+00,-1.126912457810292e+02,-9.012251759429819e+01,-1.317166830376233e+02,-9.272917703193100e+01,-8.719426022533514e+01,-1.546863537469967e+02
5.555555555555555e+00,-1.154008689630894e+02,-9.228948328188706e+01,-1.348837664729801e+02,-9.495881897082043e+01,-8.929081694730304e+01,-1.584057352052127e+02
5.656565656565657e+00,-1.181181438843050e+02,-9.446256829127319e+01,-1.380597934752843e+02,-9.719475722376545e+01,-9.139329416230017e+01,-1.621356198717443e+02
5.757575757575758e+00,-1.208428549505816e+02,-9.664160020549156e+01,-1.412445120521222e+02,-9.943681438689742e+01,-9.350152505552686e+01,-1.658757118099893e+02
5.858585858585858e+00,-1.235747963422318e+02,-9.882641442445936e+01,-1.444376816356812e+02,-1.016848210993216e+02,-9.561535037507988e+01,-1.696257285002477e+02
5.959595959595959e+00,-1.263137714132469e+02,-1.010168536845554e+02,-1.476390723806008e+02,-1.039386155488010e+02,-9.773461796714160e+01,-1.733854000151274e+02
6.060606060606061e+00,-1.290595921366200e+02,-1.032127676150290e+02,-1.508484645156513e+02,-1.061980430153351e+02,-9.985918234680184e+01,-1.771544682581641e+02
6.161616161616162e+00,-1.318120785915303e+02,-1.054140123278856e+02,-1.540656477443400e+02,-1.084629554491839e+02,-1.019889043012694e+02,-1.809326862599012e+02
6.262626262626262e+00,-1.345710584886343e+02,-1.076204500382488e+02,-1.572904206900589e+02,-1.107332110802488e+02,-1.041236505225686e+02,-1.847198175262780e+02
6.363636363636363e+00,-1.373363667300987e+02,-1.098319487125051e+02,-1.605225903818382e+02,-1.130086740560409e+02,-1.062632932671171e+02,-1.885156354347056e+02
6.464646464646465e+00,-1.401078450013490e+02,-1.120483817418134e+02,-1.637619717771710e+02,-1.152892141057470e+02,-1.084077100398435e+02,-1.923199226736787e+02
6.565656565656566e+00,-1.428853413918148e+02,-1.142696276388038e+02,-1.670083873187295e+02,-1.175747062281565e+02,-1.105567833007406e+02,-1.961324707221884e+02
6.666666666666667e+00,-1.456687100422175e+02,-1.164955697555034e+02,-1.702616665221055e+02,-1.198650304014276e+02,-1.127104001919571e+02,-1.999530793655705e+02
6.767676767676767e+00,-1.484578108161893e+02,-1.187260960207198e+02,-1.735216455919888e+02,-1.221600713128757e+02,-1.148684522837135e+02,-2.037815562447502e+02
6.868686868686869e+00,-1.512525089942206e+02,-1.209610986952823e+02,-1.767881670644451e+02,-1.244597181071355e+02,-1.170308353374960e+02,-2.076177164361376e+02
6.969696969696970e+00,-1.540526749881276e+02,-1.232004741436929e+02,-1.800610794731768e+02,-1.267638641512065e+02,-1.191974490851271e+02,-2.114613820596897e+02
7.070707070707071e+00,-1.568581840743963e+02,-1.254441226208737e+02,-1.833402370378494e+02,-1.290724068150334e+02,-1.213681970224424e+02,-2.153123819128836e+02
7.171717171717171e+00,-1.596689161449159e+02,-1.276919480728211e+02,-1.866254993727399e+02,-1.313852472663935e+02,-1.235429862164211e+02,-2.191705511285585e+02
7.272727272727272e+00,-1.624847554737448e+02,-1.299438579500817e+02,-1.899167312141282e+02,-1.337022902789787e+02,-1.257217271247231e+02,-2.230357308547663e+02
7.373737373737374e+00,-1.653055904986798e+02,-1.321997630330665e+02,-1.932138021649876e+02,-1.360234440526563e+02,-1.279043334266788e+02,-2.269077679549407e+02
7.474747474747475e+00,-1.681313136165038e+02,-1.344595772683048e+02,-1.965165864556655e+02,-1.383486200449873e+02,-1.300907218648637e+02,-2.307865147268427e+02
7.575757575757575e+00,-1.709618209908890e+02,-1.367232176148185e+02,-1.998249627193549e+02,-1.406777328131570e+02,-1.322808120964637e+02,-2.346718286388781e+02
7.676767676767676e+00,-1.737970123720197e+02,-1.389906038998689e+02,-2.031388137812647e+02,-1.430106998655502e+02,-1.344745265537100e+02,-2.385635720825011e+02
7.777777777777778e+00,-1.766367909270795e+02,-1.412616586833929e+02,-2.064580264604879e+02,-1.453474415222650e+02,-1.366717903127188e+02,-2.424616121395315e+02
