r2,r1,n,free_energy,tension
72.20000000,67.14600000,2.00000000,116.41303106,1.98597822
72.40000000,67.33200000,2.00000000,116.81201876,2.00393633
72.60000000,67.51800000,2.00000000,117.21462073,2.02212159
72.80000000,67.70400000,2.00000000,117.62088281,2.04053800
73.00000000,67.89000000,2.00000000,118.03085161,2.05918963
73.20000000,68.07600000,2.00000000,118.44457462,2.07808068
73.40000000,68.26200000,2.00000000,118.86210013,2.09721541
73.60000000,68.44800000,2.00000000,119.28347732,2.11659818
73.80000000,68.63400000,2.00000000,119.70875624,2.13623346
74.00000000,68.82000000,2.00000000,120.13798784,2.15612582
74.20000000,69.00600000,2.00000000,120.57122401,2.17627992
74.40000000,69.19200000,2.00000000,121.00851758,2.19670053
74.60000000,69.37800000,2.00000000,121.44992232,2.21739254
74.80000000,69.56400000,2.00000000,121.89549302,2.23836094
75.00000000,69.75000000,2.00000000,122.34528546,2.25961084
75.20000000,69.93600000,2.00000000,122.79935647,2.28114748
75.40000000,70.12200000,2.00000000,123.25776392,2.30297619
75.60000000,70.30800000,2.00000000,123.72056678,2.32510246
75.80000000,70.49400000,2.00000000,124.18782512,2.34753190
76.00000000,70.68000000,2.00000000,124.65960013,2.37027023
76.20000000,70.86600000,2.00000000,125.13595419,2.39332333
76.40000000,71.05200000,2.00000000,125.61695085,2.41669721
76.60000000,71.23800000,2.00000000,126.10265488,2.44039804
76.80000000,71.42400000,2.00000000,126.59313228,2.46443211
77.00000000,71.61000000,2.00000000,127.08845037,2.48880589
77.20000000,71.79600000,2.00000000,127.58867772,2.51352598
77.40000000,71.98200000,2.00000000,128.09388430,2.53859917
77.60000000,72.16800000,2.00000000,128.60414139,2.56403239
77.80000000,72.35400000,2.00000000,129.11952173,2.58983277
78.00000000,72.54000000,2.00000000,129.64009946,2.61600759
78.20000000,72.72600000,2.00000000,130.16595023,2.64256433
78.40000000,72.91200000,2.00000000,130.69715116,2.66951064
78.60000000,73.09800000,2.00000000,131.23378098,2.69685438
78.80000000,73.28400000,2.00000000,131.77591995,2.72460360
79.00000000,73.47000000,2.00000000,132.32365000,2.75276656
79.20000000,73.65600000,2.00000000,132.87705472,2.78135172
79.40000000,73.84200000,2.00000000,133.43621941,2.81036777
79.60000000,74.02800000,2.00000000,134.00123114,2.83982362
79.80000000,74.21400000,2.00000000,134.57217879,2.86972841
80.00000000,74.40000000,2.00000000,135.14915306,2.90009151
80.20000000,74.58600000,2.00000000,135.73224659,2.93092257
80.40000000,74.77200000,2.00000000,136.32155394,2.96223145
80.60000000,74.95800000,2.00000000,136.91717169,2.99402829
80.80000000,75.14400000,2.00000000,137.51919848,3.02632352
81.00000000,75.33000000,2.00000000,138.12773504,3.05912782
81.20000000,75.51600000,2.00000000,138.74288428,3.09245217
81.40000000,75.70200000,2.00000000,139.36475133,3.12630785
81.60000000,75.07200000,2.00000000,139.98037317,3.09029744
81.80000000,75.25600000,2.00000000,140.60172407,3.12329684
