r,n_opt,F_min,partial_F_r,eefactor
6.083042,0.886967,13.592693,0.549972,0.342912
6.099050,0.887493,13.601515,0.551717,0.343611
6.115058,0.887170,13.610367,0.554264,0.344638
6.131066,0.887696,13.619252,0.556017,0.345336
6.147074,0.887375,13.628176,0.558581,0.346363
6.163082,0.887901,13.637124,0.560343,0.347059
6.179090,0.888427,13.646117,0.562108,0.347754
6.195098,0.888108,13.655132,0.564695,0.348781
6.211106,0.888634,13.664189,0.566469,0.349475
6.227114,0.888316,13.673278,0.569073,0.350501
6.243122,0.888843,13.682399,0.570856,0.351194
6.259130,0.888526,13.691562,0.573478,0.352220
6.275138,0.889053,13.700746,0.575269,0.352911
6.291146,0.889581,13.709977,0.577063,0.353602
6.307154,0.889265,13.719233,0.579709,0.354627
6.323162,0.889793,13.728528,0.581512,0.355316
6.339170,0.889479,13.737860,0.584176,0.356342
6.355178,0.890007,13.747220,0.585988,0.357030
6.371186,0.890535,13.756625,0.587803,0.357717
6.387194,0.890222,13.766052,0.590491,0.358741
6.403202,0.890751,13.775523,0.592315,0.359427
6.419210,0.890440,13.785026,0.595023,0.360452
6.435218,0.890969,13.794563,0.596856,0.361136
6.451226,0.890658,13.804143,0.599581,0.362161
6.467234,0.891188,13.813746,0.601424,0.362844
6.483242,0.891717,13.823395,0.603269,0.363526
6.499250,0.891408,13.833073,0.606020,0.364549
6.515258,0.891938,13.842788,0.607875,0.365230
6.531266,0.891631,13.852544,0.610645,0.366254
6.547274,0.892161,13.862326,0.612510,0.366933
6.563282,0.892691,13.872156,0.614377,0.367612
6.579290,0.892385,13.882010,0.617173,0.368635
6.595298,0.892916,13.891907,0.619050,0.369312
6.611306,0.892611,13.901840,0.621865,0.370335
6.627314,0.893142,13.911805,0.623752,0.371011
6.643322,0.893673,13.921817,0.625641,0.371686
6.659330,0.893370,13.931850,0.628483,0.372708
6.675338,0.893901,13.941930,0.630383,0.373382
6.691346,0.893599,13.952044,0.633244,0.374404
6.707354,0.894131,13.962193,0.635154,0.375077
6.723362,0.893831,13.972388,0.638036,0.376098
6.739370,0.894363,13.982605,0.639955,0.376769
6.755378,0.894895,13.992871,0.641877,0.377440
6.771386,0.894596,14.003168,0.644786,0.378461
6.787394,0.895128,14.013503,0.646719,0.379130
6.803402,0.894831,14.023883,0.649649,0.380150
6.819410,0.895364,14.034287,0.651591,0.380818
6.835418,0.895896,14.044740,0.653537,0.381485
6.851426,0.895600,14.055224,0.656495,0.382505
6.867434,0.896134,14.065748,0.658451,0.383170
6.883442,0.895839,14.076315,0.661430,0.384190
6.899450,0.896372,14.086909,0.663396,0.384854
6.915458,0.896906,14.097551,0.665366,0.385517
6.931466,0.896613,14.108225,0.668373,0.386536
6.947474,0.897147,14.118939,0.670353,0.387198
6.963482,0.896855,14.129697,0.673382,0.388217
6.979490,0.897389,14.140482,0.675373,0.388878
6.995498,0.897924,14.151317,0.677367,0.389537
7.011506,0.897633,14.162183,0.680425,0.390555
7.027514,0.898168,14.173090,0.682430,0.391214
7.043522,0.897879,14.184042,0.685509,0.392231
7.059530,0.898414,14.195021,0.687525,0.392888
7.075538,0.898949,14.206049,0.689544,0.393545
7.091546,0.898662,14.217111,0.692654,0.394562
7.107554,0.899197,14.228213,0.694684,0.395217
7.123562,0.898911,14.239362,0.697816,0.396233
7.139570,0.899447,14.250537,0.699857,0.396887
7.155578,0.899983,14.261762,0.701901,0.397540
7.171586,0.899698,14.273023,0.705064,0.398555
7.187594,0.900235,14.284321,0.707119,0.399207
7.203602,0.900771,14.295670,0.709179,0.399858
7.219610,0.900488,14.307044,0.712372,0.400872
7.235618,0.901025,14.318467,0.714442,0.401522
7.251626,0.900742,14.329931,0.717658,0.402536
7.267634,0.901280,14.341429,0.719740,0.403184
7.283642,0.901817,14.352978,0.721826,0.403831
7.299650,0.901537,14.364556,0.725073,0.404845
7.315658,0.902074,14.376180,0.727171,0.405491
7.331666,0.901795,14.387849,0.730442,0.406504
7.347674,0.902333,14.399549,0.732551,0.407149
7.363682,0.902871,14.411300,0.734663,0.407793
7.379690,0.902593,14.423086,0.737966,0.408805
7.395698,0.903132,14.434913,0.740091,0.409447
7.411706,0.902855,14.446792,0.743418,0.410459
7.427714,0.903394,14.458696,0.745554,0.411100
7.443722,0.903933,14.470652,0.747694,0.411741
7.459730,0.903658,14.482648,0.751054,0.412752
7.475738,0.904198,14.494681,0.753206,0.413391
7.491746,0.904737,14.506766,0.755362,0.414029
