# lambda,sigma
3.754755e+00,7.586515e+01
3.758759e+00,7.596910e+01
3.762763e+00,7.602200e+01
3.766767e+00,7.574516e+01
3.770771e+00,7.571422e+01
3.774775e+00,7.580233e+01
3.778779e+00,7.593124e+01
3.782783e+00,7.594959e+01
3.786787e+00,7.605668e+01
3.790791e+00,7.621187e+01
3.794795e+00,7.618211e+01
3.798799e+00,7.622198e+01
3.802803e+00,7.620260e+01
3.806807e+00,7.614794e+01
3.810811e+00,7.562489e+01
3.814815e+00,7.573015e+01
3.818819e+00,7.595493e+01
3.822823e+00,7.603475e+01
3.826827e+00,7.613915e+01
3.830831e+00,7.609784e+01
3.834835e+00,7.590011e+01
3.838839e+00,7.609358e+01
3.842843e+00,7.631984e+01
3.846847e+00,7.654878e+01
3.850851e+00,7.677205e+01
3.854855e+00,7.700408e+01
3.858859e+00,7.706796e+01
3.862863e+00,7.701629e+01
3.866867e+00,7.720394e+01
3.870871e+00,7.729174e+01
3.874875e+00,7.751959e+01
3.878879e+00,7.775229e+01
3.882883e+00,7.798031e+01
3.886887e+00,7.798648e+01
3.890891e+00,7.819382e+01
3.894895e+00,7.842536e+01
3.898899e+00,7.865674e+01
3.902903e+00,7.881195e+01
3.906907e+00,7.890223e+01
3.910911e+00,7.913303e+01
3.914915e+00,7.935494e+01
3.918919e+00,7.932086e+01
3.922923e+00,7.927422e+01
3.926927e+00,7.927291e+01
3.930931e+00,7.935164e+01
3.934935e+00,7.949457e+01
3.938939e+00,7.972410e+01
3.942943e+00,7.995368e+01
3.946947e+00,8.018766e+01
3.950951e+00,8.041236e+01
3.954955e+00,8.052898e+01
3.958959e+00,8.059225e+01
3.962963e+00,8.050642e+01
3.966967e+00,8.074274e+01
3.970971e+00,8.091986e+01
3.974975e+00,8.095338e+01
3.978979e+00,8.118718e+01
3.982983e+00,8.134546e+01
3.986987e+00,8.124677e+01
3.990991e+00,8.125669e+01
3.994995e+00,8.131746e+01
3.998999e+00,8.148785e+01
4.003003e+00,8.171636e+01
4.007007e+00,8.177768e+01
4.011011e+00,8.172484e+01
4.015015e+00,8.177289e+01
4.019019e+00,8.184305e+01
4.023023e+00,8.196743e+01
4.027027e+00,8.205148e+01
4.031031e+00,8.229272e+01
4.035035e+00,8.253188e+01
4.039039e+00,8.275765e+01
4.043043e+00,8.269684e+01
4.047047e+00,8.262465e+01
4.051051e+00,8.282784e+01
4.055055e+00,8.281095e+01
4.059059e+00,8.292615e+01
4.063063e+00,8.277177e+01
4.067067e+00,8.271554e+01
4.071071e+00,8.295572e+01
4.075075e+00,8.319575e+01
4.079079e+00,8.343526e+01
4.083083e+00,8.367677e+01
4.087087e+00,8.391913e+01
4.091091e+00,8.416565e+01
4.095095e+00,8.440636e+01
4.099099e+00,8.464835e+01
4.103103e+00,8.481695e+01
4.107107e+00,8.497920e+01
4.111111e+00,8.522307e+01
4.115115e+00,8.547215e+01
4.119119e+00,8.572300e+01
4.123123e+00,8.589904e+01
4.127127e+00,8.608016e+01
4.131131e+00,8.632941e+01
4.135135e+00,8.658174e+01
4.139139e+00,8.670960e+01
4.143143e+00,8.690263e+01
4.147147e+00,8.715322e+01
4.151151e+00,8.734141e+01
4.155155e+00,8.703618e+01
4.159159e+00,8.705380e+01
4.163163e+00,8.716859e+01
4.167167e+00,8.698954e+01
4.171171e+00,8.683873e+01
4.175175e+00,8.685656e+01
4.179179e+00,8.708927e+01
4.183183e+00,8.731975e+01
4.187187e+00,8.754758e+01
4.191191e+00,8.774877e+01
4.195195e+00,8.779070e+01
4.199199e+00,8.802564e+01
4.203203e+00,8.826794e+01
4.207207e+00,8.850799e+01
4.211211e+00,8.874959e+01
4.215215e+00,8.898700e+01
4.219219e+00,8.914434e+01
4.223223e+00,8.936150e+01
4.227227e+00,8.954008e+01
4.231231e+00,8.967689e+01
4.235235e+00,8.975865e+01
4.239239e+00,8.997564e+01
4.243243e+00,9.023977e+01
4.247247e+00,9.050591e+01
4.251251e+00,9.061676e+01
4.255255e+00,9.078617e+01
4.259259e+00,9.104917e+01
4.263263e+00,9.131666e+01
4.267267e+00,9.153090e+01
4.271271e+00,9.169319e+01
4.275275e+00,9.196019e+01
4.279279e+00,9.211577e+01
4.283283e+00,9.224832e+01
4.287287e+00,9.251948e+01
4.291291e+00,9.279532e+01
4.295295e+00,9.306986e+01
4.299299e+00,9.319829e+01
4.303303e+00,9.340624e+01
4.307307e+00,9.368642e+01
4.311311e+00,9.388069e+01
4.315315e+00,9.389791e+01
4.319319e+00,9.404217e+01
4.323323e+00,9.414558e+01
4.327327e+00,9.442753e+01
4.331331e+00,9.462609e+01
4.335335e+00,9.456599e+01
4.339339e+00,9.462624e+01
4.343343e+00,9.469194e+01
4.347347e+00,9.472600e+01
4.351351e+00,9.492946e+01
4.355355e+00,9.520926e+01
4.359359e+00,9.549090e+01
4.363363e+00,9.577624e+01
4.367367e+00,9.605742e+01
4.371371e+00,9.634360e+01
4.375375e+00,9.660461e+01
4.379379e+00,9.671967e+01
4.383383e+00,9.699255e+01
4.387387e+00,9.727972e+01
4.391391e+00,9.739524e+01
4.395395e+00,9.764126e+01
4.399399e+00,9.792598e+01
4.403403e+00,9.809298e+01
4.407407e+00,9.823635e+01
4.411411e+00,9.845280e+01
4.415415e+00,9.874532e+01
4.419419e+00,9.904077e+01
4.423423e+00,9.933849e+01
4.427427e+00,9.963587e+01
4.431431e+00,9.992050e+01
4.435435e+00,1.001038e+02
4.439439e+00,1.003912e+02
4.443443e+00,1.006910e+02
4.447447e+00,1.009959e+02
4.451451e+00,1.012869e+02
4.455455e+00,1.013916e+02
4.459459e+00,1.014622e+02
4.463463e+00,1.017299e+02
4.467467e+00,1.019241e+02
4.471471e+00,1.022305e+02
4.475475e+00,1.025421e+02
4.479479e+00,1.028544e+02
4.483483e+00,1.031673e+02
