sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44
0.0396897773,0.0277127575,0.0378987239,0.0535020886,0.0304455629,0.0510245486,0.0551951103,0.1004369466,0.0374654991,0.0322320473,0.0359911097,0.0364444113,0.0279492054,0.0372451323,0.0480768822,0.0334799997,0.0466627998,0.1484953648,0.0430054226,0.0645889015,0.0356170864,0.0339077810,0.0290283961,0.0661100732,0.0463349186,0.0287838521,0.1190673342,0.0319206698,0.0330436536,0.0346233754,0.1815458191,0.0313506908,0.0474845983,0.0644428481,0.0310268985,0.1711347308,0.1164115961,0.0335768160,0.0327348300,0.0366702820,0.0418303800,0.0383598664,0.0308695876,0.0395843140
0.0416825576,0.0291012189,0.0398008792,0.0561974958,0.0319715846,0.0535933879,0.0579771569,0.1055930353,0.0393457485,0.0338480914,0.0377968485,0.0382730517,0.0293495620,0.0391142411,0.0504954598,0.0351589773,0.0490094115,0.1563539998,0.0451662405,0.0678540596,0.0374039333,0.0356083409,0.0304830608,0.0694538721,0.0486648544,0.0302262083,0.1252443526,0.0335210176,0.0347006219,0.0363600492,0.1914159401,0.0329223127,0.0498730240,0.0677004619,0.0325822054,0.1803555831,0.1224411935,0.0352606777,0.0343762242,0.0385103360,0.0439316050,0.0402853455,0.0324169691,0.0415717552
0.0436765539,0.0304900940,0.0417040932,0.0588958865,0.0334981548,0.0561648142,0.0607624799,0.1107690562,0.0412270207,0.0354647864,0.0396034939,0.0401026334,0.0307503430,0.0409843547,0.0529162007,0.0368386846,0.0513580009,0.1642781447,0.0473286060,0.0711244757,0.0391916589,0.0373096588,0.0319382010,0.0728033108,0.0509967264,0.0316690280,0.1314547717,0.0351219977,0.0363582917,0.0380975301,0.2014075649,0.0344945336,0.0522635340,0.0709632979,0.0341380930,0.1896777092,0.1285019786,0.0369452755,0.0360183004,0.0403513489,0.0460342540,0.0422119224,0.0339649224,0.0435604028
0.0456718251,0.0318794025,0.0436084169,0.0615974057,0.0350253000,0.0587389532,0.0635512390,0.1159660279,0.0431093649,0.0370821637,0.0414110895,0.0419332017,0.0321515687,0.0428555214,0.0553392098,0.0385191566,0.0537086637,0.1722714124,0.0494925938,0.0744004077,0.0409803052,0.0390117710,0.0333938394,0.0761586664,0.0533306284,0.0331123335,0.1377003445,0.0367236404,0.0380166966,0.0398358567,0.2115278383,0.0360673822,0.0546562291,0.0742316124,0.0356945891,0.1991069407,0.1345955816,0.0386306445,0.0376610913,0.0421933669,0.0481383957,0.0441396500,0.0355134750,0.0455503150
0.0476684296,0.0332691643,0.0455139011,0.0643021989,0.0365530463,0.0613159306,0.0663435941,0.1211849786,0.0449928302,0.0387002545,0.0432196788,0.0437648018,0.0335532594,0.0447277896,0.0577645920,0.0402004282,0.0560614958,0.1803374895,0.0516582787,0.0776821147,0.0427699146,0.0407147141,0.0348499988,0.0795202172,0.0556666540,0.0345561469,0.1439828480,0.0383259760,0.0396758703,0.0415750680,0.2217841128,0.0376408873,0.0570512105,0.0775056626,0.0372517214,0.2086492615,0.1407236542,0.0403168203,0.0393046297,0.0440364361,0.0502440988,0.0460685812,0.0370626542,0.0475415501
0.0496664263,0.0346593993,0.0474205971,0.0670104120,0.0380814202,0.0638958728,0.0691397057,0.1264269472,0.0468774661,0.0403190901,0.0450293057,0.0455974793,0.0349554354,0.0466012078,0.0601924525,0.0418825347,0.0584165933,0.1884801402,0.0538257357,0.0809698569,0.0445605295,0.0424185244,0.0363067020,0.0828882426,0.0580048975,0.0360004905,0.1503040837,0.0399290351,0.0413358466,0.0433152027,0.2321839629,0.0392150776,0.0594485794,0.0807857069,0.0388095181,0.2183108188,0.1468878698,0.0420038382,0.0409489483,0.0458806027,0.0523514324,0.0479987690,0.0386124877,0.0495341661
0.0516658740,0.0360501272,0.0493285559,0.0697221913,0.0396104481,0.0664789061,0.0719397348,0.1316929835,0.0487633220,0.0419387018,0.0468400138,0.0474312794,0.0363581172,0.0484758245,0.0626228970,0.0435655112,0.0607740524,0.1967032112,0.0559950399,0.0842638956,0.0463521922,0.0441232386,0.0377639720,0.0862630237,0.0603454530,0.0374453866,0.1566658798,0.0415328480,0.0429966592,0.0450562998,0.2427351995,0.0407899821,0.0618484375,0.0840720047,0.0403680069,0.2280979325,0.1530899257,0.0436917336,0.0425940799,0.0477259131,0.0544604654,0.0499302665,0.0401630028,0.0515282217
0.0536668317,0.0374413680,0.0512378289,0.0724376836,0.0411401562,0.0690651577,0.0747438429,0.1369841490,0.0506504473,0.0435591210,0.0486518470,0.0492662477,0.0377613251,0.0503516884,0.0650560310,0.0452493929,0.0631339698,0.2050106358,0.0581662665,0.0875644934,0.0481449451,0.0458288932,0.0392218315,0.0896448427,0.0626884151,0.0388908575,0.1630700919,0.0431374451,0.0446583421,0.0467983983,0.2534458853,0.0423656295,0.0642508867,0.0873648168,0.0419272158,0.2380171065,0.1593315434,0.0453805421,0.0442400575,0.0495724136,0.0565712671,0.0518631267,0.0417142271,0.0535237752
0.0556693586,0.0388331416,0.0531484674,0.0751570363,0.0426705711,0.0716547548,0.0775521923,0.1423015171,0.0525388917,0.0451803792,0.0504648491,0.0511024299,0.0391650795,0.0522288481,0.0674919609,0.0469342150,0.0654964423,0.2134064397,0.0603394911,0.0908719141,0.0499388309,0.0475355249,0.0406803034,0.0930339832,0.0650338786,0.0403369254,0.1695186048,0.0447428571,0.0463209289,0.0485415371,0.2643243509,0.0439420488,0.0666560291,0.0906644052,0.0434871728,0.2480750398,0.1656144704,0.0470702992,0.0458869141,0.0514201508,0.0586839067,0.0537974031,0.0432661881,0.0555208853
0.0576735137,0.0402254678,0.0550605229,0.0778803971,0.0442017193,0.0742478251,0.0803649456,0.1476461739,0.0544287048,0.0468025077,0.0522790642,0.0529398716,0.0405694008,0.0541073524,0.0699307929,0.0486200128,0.0678615670,0.2218947455,0.0625147893,0.0941864229,0.0517338920,0.0492431702,0.0421394106,0.0964307305,0.0673819384,0.0417836127,0.1760133335,0.0463491144,0.0479844538,0.0502857554,0.2753792120,0.0455192688,0.0690639670,0.0939710332,0.0450479059,0.2582786387,0.1719404815,0.0487610406,0.0475346824,0.0532691710,0.0607984538,0.0557331490,0.0448189136,0.0575196107
