sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44
1.9155803951,2.3636509426,1.9561195881,1.7208299995,2.2098742876,1.7455827864,1.7055538148,1.5144588394,1.9667856511,2.1319222616,2.0059852956,1.9934275938,2.3482493690,1.9723522138,1.7794780135,2.0852002858,1.7977924542,1.4506347743,1.8529402660,1.6387160802,2.0167114649,2.0704158053,2.2834190788,1.6300830559,1.8022552470,2.2973743767,1.4828606519,2.1444974282,2.1009032697,2.0469402844,1.4279067073,2.1685707116,1.7869706583,1.6395714156,2.1828922679,1.4340322401,1.4866712571,2.0818026470,2.1124185671,1.9873434030,1.8735401727,1.9451530653,2.1900286554,1.9178210030
2.1071384346,2.6000160369,2.1517315469,1.8929129994,2.4308617164,1.9201410651,1.8761091963,1.6659047234,2.1634642163,2.3451144877,2.2065838251,2.1927703532,2.5830743059,2.1695874352,1.9574258149,2.2937203144,1.9775716996,1.5956982517,2.0382342926,1.8025876882,2.2183826114,2.2774573858,2.5117609867,1.7930913615,1.9824807717,2.5271118144,1.6311467171,2.3589471710,2.3109935967,2.2516343129,1.5706973780,2.3854277828,1.9656677241,1.8035285572,2.4011814947,1.5774354641,1.6353383829,2.2899829116,2.3236604238,2.1860777433,2.0608941900,2.1396683718,2.4090315210,2.1096031033
2.2986964741,2.8363811312,2.3473435057,2.0649959994,2.6518491452,2.0946993437,2.0466645777,1.8173506073,2.3601427814,2.5583067139,2.4071823547,2.3921131126,2.8178992428,2.3668226566,2.1353736162,2.5022403430,2.1573509450,1.7407617291,2.2235283193,1.9664592962,2.4200537579,2.4844989663,2.7401028946,1.9560996671,2.1627062964,2.7568492521,1.7794327823,2.5733969139,2.5210839237,2.4563283413,1.7134880488,2.6022848539,2.1443647899,1.9674856988,2.6194707215,1.7208386881,1.7840055086,2.4981631763,2.5349022805,2.3848120836,2.2482482073,2.3341836783,2.6280343865,2.3013852036
2.4902545136,3.0727462254,2.5429554645,2.2370789993,2.8728365739,2.2692576224,2.2172199592,1.9687964913,2.5568213465,2.7714989400,2.6077808842,2.5914558720,3.0527241797,2.5640578779,2.3133214176,2.7107603716,2.3371301904,1.8858252065,2.4088223459,2.1303309042,2.6217249043,2.6915405469,2.9684448025,2.1191079727,2.3429318212,2.9865866898,1.9277188475,2.7878466567,2.7311742506,2.6610223698,1.8562787195,2.8191419251,2.3230618557,2.1314428403,2.8377599483,1.8642419121,1.9326726343,2.7063434410,2.7461441372,2.5835464239,2.4356022245,2.5286989849,2.8470372521,2.4931673039
2.6818125531,3.3091113197,2.7385674233,2.4091619993,3.0938240027,2.4438159010,2.3877753407,2.1202423752,2.7534999116,2.9846911662,2.8083794138,2.7907986314,3.2875491166,2.7612930993,2.4912692189,2.9192804002,2.5169094358,2.0308886840,2.5941163725,2.2942025123,2.8233960508,2.8985821274,3.1967867103,2.2821162783,2.5231573459,3.2163241274,2.0760049126,3.0022963995,2.9412645776,2.8657163982,1.9990693902,3.0359989962,2.5017589216,2.2953999819,3.0560491751,2.0076451361,2.0813397600,2.9145237057,2.9573859939,2.7822807642,2.6229562418,2.7232142914,3.0660401176,2.6849494043
2.8733705926,3.5454764139,2.9341793821,2.5812449992,3.3148114315,2.6183741797,2.5583307222,2.2716882591,2.9501784767,3.1978833924,3.0089779433,2.9901413907,3.5223740535,2.9585283207,2.6692170203,3.1278004287,2.6966886812,2.1759521614,2.7794103991,2.4580741203,3.0250671973,3.1056237079,3.4251286182,2.4451245839,2.7033828706,3.4460615651,2.2242909778,3.2167461423,3.1513549046,3.0704104267,2.1418600610,3.2528560674,2.6804559874,2.4593571235,3.2743384019,2.1510483601,2.2300068857,3.1227039704,3.1686278506,2.9810151044,2.8103102591,2.9177295979,3.2850429831,2.8767315046
3.0649286321,3.7818415082,3.1297913409,2.7533279992,3.5357988602,2.7929324583,2.7288861037,2.4231341431,3.1468570418,3.4110756185,3.2095764729,3.1894841501,3.7571989904,3.1557635421,2.8471648216,3.3363204573,2.8764679267,2.3210156388,2.9647044257,2.6219457283,3.2267383438,3.3126652884,3.6534705261,2.6081328895,2.8836083953,3.6757990028,2.3725770430,3.4311958852,3.3614452315,3.2751044551,2.2846507317,3.4697131386,2.8591530532,2.6233142650,3.4926276287,2.2944515841,2.3786740114,3.3308842351,3.3798697074,3.1797494447,2.9976642764,3.1122449044,3.5040458487,3.0685136049
3.2564866716,4.0182066025,3.3254032997,2.9254109991,3.7567862890,2.9674907369,2.8994414851,2.5745800270,3.3435356069,3.6242678447,3.4101750024,3.3888269095,3.9920239273,3.3529987635,3.0251126230,3.5448404859,3.0562471721,2.4660791163,3.1499984523,2.7858173363,3.4284094903,3.5197068690,3.8818124340,2.7711411951,3.0638339200,3.9055364405,2.5208631082,3.6456456280,3.5715355585,3.4797984836,2.4274414024,3.6865702097,3.0378501190,2.7872714066,3.7109168555,2.4378548081,2.5273411371,3.5390644998,3.5911115641,3.3784837850,3.1850182936,3.3067602110,3.7230487142,3.2602957052
3.4480447112,4.2545716967,3.5210152585,3.0974939991,3.9777737177,3.1420490156,3.0699968666,2.7260259110,3.5402141721,3.8374600708,3.6107735320,3.5881696689,4.2268488642,3.5502339848,3.2030604243,3.7533605145,3.2360264175,2.6111425937,3.3352924789,2.9496889443,3.6300806368,3.7267484495,4.1101543419,2.9341495007,3.2440594447,4.1352738781,2.6691491734,3.8600953708,3.7816258855,3.6844925120,2.5702320732,3.9034272809,3.2165471849,2.9512285482,3.9292060823,2.5812580322,2.6760082628,3.7472447645,3.8023534208,3.5772181253,3.3723723109,3.5012755175,3.9420515798,3.4520778055
3.6396027507,4.4909367910,3.7166272173,3.2695769990,4.1987611465,3.3166072942,3.2405522481,2.8774717949,3.7368927372,4.0506522970,3.8113720616,3.7875124283,4.4616738011,3.7474692062,3.3810082257,3.9618805431,3.4158056629,2.7562060711,3.5205865055,3.1135605523,3.8317517833,3.9337900300,4.3384962497,3.0971578063,3.4242849694,4.3650113158,2.8174352386,4.0745451136,3.9917162124,3.8891865404,2.7130227439,4.1202843521,3.3952442507,3.1151856897,4.1474953090,2.7246612562,2.8246753886,3.9554250292,4.0135952775,3.7759524656,3.5597263282,3.6957908240,4.1610544453,3.6438599058
